player,teamAbbreviation,games,fieldGoals,threePointPercent,freeThrowPercent,rebounds,assists,steals,blocks,personalFouls,points
George Hill,SAC,43,153,0.453,0.778,117,119,39,12,71,308
George Hill,CLE,24,83,0.351,0.805,64,67,22,15,71,309
Solomon Hill,NOP,12,11,0.19,0.5,36,22,7,1,71,310
Darrun Hilliard,SAS,14,5,0,0.857,7,11,2,0,71,311
Jrue Holiday,NOP,81,615,0.337,0.786,365,486,123,64,71,312
Justin Holiday,CHI,72,290,0.359,0.823,291,153,80,31,71,313
John Holland,CLE,24,17,0.306,0.692,24,5,7,2,71,314
Rondae Hollis-Jefferson,BRK,68,342,0.241,0.788,459,167,65,48,71,315
Richaun Holmes,PHI,48,135,0.129,0.661,211,61,20,29,71,316
Rodney Hood,UTA,39,234,0.389,0.876,111,65,30,7,71,317
Rodney Hood,CLE,21,88,0.352,0.813,54,30,15,5,71,318
Scotty Hopson,DAL,1,0,0,0,1,0,0,1,71,319
Al Horford,BOS,72,368,0.429,0.783,530,339,43,78,71,320
Danuel House,PHO,23,56,0.259,0.806,76,25,7,6,71,321
Dwight Howard,CHO,81,506,0.143,0.574,1012,105,48,131,71,322
Josh Huestis,OKC,69,60,0.287,0.3,161,20,15,43,71,323
R.J. Hunter,HOU,5,7,0.214,1,5,3,3,0,71,324
Vince Hunter,MEM,4,3,3,1,0,1,1,0,71,325
Serge Ibaka,TOR,76,379,0.36,0.797,478,62,29,99,71,326
Andre Iguodala,GSW,64,148,0.282,0.632,246,210,54,38,71,327
Ersan Ilyasova,ATL,46,184,0.359,0.8,251,51,44,17,71,328
Ersan Ilyasova,PHI,23,93,0.361,0.733,154,39,17,9,71,329
Joe Ingles,UTA,82,335,0.44,0.795,344,392,90,20,71,330
Andre Ingram,LAL,2,8,0.556,1,6,7,3,3,71,331
Brandon Ingram,LAL,59,358,0.39,0.681,314,230,45,43,71,332
Kyrie Irving,BOS,60,534,0.408,0.889,227,306,65,17,71,333
Jonathan Isaac,ORL,27,55,0.348,0.76,99,18,33,30,71,334
Wesley Iwundu,ORL,62,93,0.196,0.723,137,57,33,12,71,335
Jarrett Jack,NYK,62,189,0.291,0.84,191,348,35,4,71,336
Aaron Jackson,HOU,1,3,0.25,0.5,3,1,0,0,71,337
Demetrius Jackson,HOU,12,4,0,4,5,4,1,9,71,338
Demetrius Jackson,PHI,3,3,1,0.5,1,4,1,0,71,339
Josh Jackson,PHO,77,389,0.263,0.634,351,119,80,35,71,340
Justin Jackson,SAC,68,185,0.308,0.722,187,74,28,13,71,341
Reggie Jackson,DET,45,246,0.308,0.836,125,238,27,4,71,342
LeBron James,CLE,82,857,0.367,0.731,709,747,116,71,71,343
